Municipality;East;North
Aadorf;709940;261380
Aarau;645731;249290
Aarberg;587630;210376
Aarburg;634863;241122
Aarwangen;625062;232187
Abtwil;669448;225244
Aclens;528782;157782
Acquarossa;715212;146013
Adelboden;609302;149113
Adligenswil;670375;213709
Adliswil;682184;240749
Aedermannsdorf;613045;239577
Aefligen;608994;215900
Aegerten;588715;218819
Aesch (BL);612014;257397
Aesch (LU);660764;234098
Aesch (ZH);675554;243410
Aeschi (SO);616970;225690
Aeschi bei Spiez;619737;167505
Aeugst am Albis;679205;235736
Affeltrangen;718857;264075
Affoltern am Albis;676210;236500
Affoltern im Emmental;622506;212770
Agarn;617420;127337
Agiez;528792;174797
Agno;713215;95103
Aigle;563688;129645
Aire-la-Ville;492255;116353
Airolo;689766;153815
Alberswil;642576;222266
Albinen;614964;132086
Albula/Alvra;763249;170416
Alchenstorf;615054;219395
Allaman;519865;147147
Alle;576757;253043
Allmendingen;606522;195964
Allschwil;607366;266701
Alpnach;663575;199136
Alpthal;697008;214070
Altbüron;633707;225915
Altdorf (UR);691867;192999
Altendorf;705438;227773
Altikon;701009;270045
Altishofen;640011;227807
Altnau;736172;275571
Alto Malcantone;710818;99061
Altstätten;758652;249570
Amden;729100;223400
Amlikon-Bissegg;721253;269684
Ammerswil;658066;246803
Amriswil;740106;268248
Amsoldingen;611108;175218
Andeer;751548;162881
Andelfingen;693301;272327
Andermatt;688534;165279
Andwil (SG);739156;255250
Anières;505793;124653
Anniviers;612458;114665
Anwil;637911;255657
Appenzell;749492;244381
Aranno;711008;97147
Arbaz;595757;124782
Arbedo-Castione;723905;120377
Arboldswil;620993;251717
Arbon;750234;264790
Arch;599202;224050
Ardon;586041;117818
Arisdorf;624605;262399
Aristau;669880;237604
Arlesheim;613743;260316
Arnex-sur-Nyon;504036;136725
Arnex-sur-Orbe;529649;171761
Arni (AG);674218;241317
Arni (BE);617241;198232
Arogno;719805;91004
Arosa;771390;183803
Arth;682481;213203
Arzier-Le Muids;505445;146153
Ascona;702740;112450
Assens;537458;162626
Astano;706712;96586
Attalens;554736;151137
Attinghausen;690694;190715
Attiswil;613239;232933
Au (SG);765554;255904
Aubonne;519540;149962
Auboranges;551497;159254
Auenstein;652551;251997
Augst;620645;264966
Ausserberg;631302;129036
Auswil;630004;220585
Autigny;568088;176187
Auw;670128;229378
Avegno Gordevio;700740;119209
Avenches;569656;192175
Avers;759344;149089
Avry;572192;181972
Avully;489048;114132
Avusy;488209;111981
Ayent;597513;125151
Baar;682427;227780
Bachenbülach;683437;262079
Bachs;675372;264287
Bad Ragaz;756792;207729
Baden;665537;258378
Balerna;721608;78364
Balgach;763730;252969
Ballaigues;521712;175843
Ballens;518391;156462
Ballwil;666892;222740
Balm bei Günsberg;609042;233548
Balsthal;619343;240675
Baltschieder;632801;128821
Bannwil;622309;231846
Bardonnex;496578;111833
Bäretswil;707252;243868
Bargen (BE);586661;209729
Bargen (SH);687786;294137
Bäriswil;606757;207542
Bärschwil;602643;248057
Basadingen-Schlattingen;698495;280382
Basel;611220;267503
Bas-Intyamon;572779;157265
Basse-Allaine;570488;256624
Basse-Vendline;577598;259608
Bassersdorf;689755;255407
Bassins;507307;146464
Bätterkinden;607658;219949
Bättwil;605359;260103
Baulmes;530009;182596
Bauma;708720;247385
Bavois;533208;170824
Beatenberg;627219;171940
Beckenried;678546;202711
Bedano;714930;101133
Bedigliora;708867;95579
Bedretto;682432;151085
Beggingen;682068;291251
Begnins;508507;143974
Beinwil (Freiamt);668702;231453
Beinwil (SO);611247;245905
Beinwil am See;657823;235342
Belfaux;574710;185636
Bellach;604650;229373
Bellevue;500623;122883
Bellikon;668330;249089
Bellinzona;722340;116829
Bellmund;585406;217579
Bellwald;655064;142101
Belmont-Broye;567446;190704
Belmont-sur-Lausanne;541806;152361
Belmont-sur-Yverdon;537740;177446
Belp;604800;193308
Belprahon;597521;237142
Benken (SG);719565;228875
Benken (ZH);691299;278876
Bennwil;625771;250317
Bercher;543806;171462
Berg (SG);748371;261391
Berg (TG);730030;269871
Berg am Irchel;687394;269086
Bergdietikon;671531;249029
Bergün Filisur;774498;169225
Berikon;670520;244841
Beringen;685105;283694
Berken;620610;230750
Berlingen;718521;280750
Bern;600670;199655
Berneck;763757;254975
Bernex;494035;113730
Berolle;515500;156935
Beromünster;657691;227952
Besenbüren;668463;240514
Bettenhausen;620999;224644
Bettens;534028;164207
Bettingen;617043;268944
Bettlach;598968;228136
Bettmeralp;647964;137827
Bettwiesen;720150;262248
Bettwil;662509;238040
Bever;787669;158339
Bex;567157;122276
Biasca;717933;135432
Biberist;609095;225796
Biberstein;648689;251661
Bichelsee-Balterswil;711465;256517
Biel/Bienne;585443;220664
Biel-Benken;606540;261725
Bière;515254;154591
Biezwil;598440;218254
Biglen;614458;197503
Billens-Hennens;558754;171149
Binn;657306;135303
Binningen;609974;265254
Bioggio;713777;96990
Bioley-Magnoux;544408;175373
Birmensdorf (ZH);675488;245324
Birmenstorf (AG);661057;257077
Birr;657665;254169
Birrhard;660889;253891
Birrwil;657307;237982
Birsfelden;613904;266974
Birwinken;732497;271780
Bischofszell;735216;262573
Bissone;718431;89865
Bister;648306;134484
Bitsch;643842;131810
Blatten;629381;141278
Blauen;606018;255493
Bleienbach;624199;226114
Blenio;715310;154292
Blonay – Saint-Légier;558219;146140
Blumenstein;606255;176662
Böckten;629977;256953
Bodio;712962;137571
Boécourt;583125;244529
Bofflens;528240;173044
Bogis-Bossey;502073;134317
Bois-d’Amont;577629;178213
Bolken;617072;226925
Bolligen;604463;202702
Boltigen;596387;164245
Bonaduz;749669;186927
Boncourt;568102;260652
Bönigen;634788;170619
Boningen;631738;239956
Boniswil;656449;240856
Bonstetten;677916;241062
Bonvillars;541472;187846
Boppelsen;672726;258324
Borex;502974;137144
Bosco/Gurin;681285;130168
Bösingen;583973;193602
Bossonnens;554703;152434
Boswil;666119;239242
Bottens;540379;163152
Bottenwil;642845;237247
Botterens;575041;163401
Bottighofen;732947;278065
Bottmingen;610050;263647
Böttstein;659022;267555
Boudry;554239;200211
Bougy-Villars;516699;148086
Boulens;545062;170364
Bourg-en-Lavaux;545654;148804
Bourg-Saint-Pierre;582142;88648
Bournens;532958;161748
Bourrignon;585342;249619
Boussens;534405;161701
Bovernier;572719;103338
Bowil;619533;193578
Bözberg;653633;259737
Böztal;647055;261220
Braunau;722661;262299
Bregaglia;765655;134717
Breggia;723051;80259
Breil/Brigels;723842;180815
Breitenbach;607988;250841
Bremblens;529351;155459
Bremgarten (AG);668325;244818
Bremgarten bei Bern;600236;202947
Brenzikofen;613376;185153
Bretigny-sur-Morrens;538889;161067
Bretonnières;526149;173996
Bretzwil;616170;249693
Brienz (BE);645117;178317
Brienzwiler;650669;177977
Brig-Glis;642260;129562
Brione sopra Minusio;706268;115658
Brislach;607863;252003
Brissago;698277;108407
Brittnau;638486;234449
Broc;573990;161398
Brot-Plamboz;546754;202589
Brugg;657898;259644
Brügg;587911;219257
Brunegg;658734;252306
Brünisried;587753;178616
Brusino Arsizio;716211;87185
Brusio;807075;126601
Brüttelen;577894;207906
Brütten;693160;258765
Bubendorf;622437;255330
Bubikon;704550;236344
Buch (SH);700903;285983
Buch am Irchel;689096;267135
Buchberg;683632;269032
Buchegg;602866;220571
Buchholterberg;619583;186405
Buchillon;522040;147088
Buchrain;668888;216375
Buchs (AG);648025;248867
Buchs (SG);753749;225954
Buchs (ZH);675340;256966
Buckten;630654;251098
Büetigen;592510;217198
Bühl;585255;213312
Bühler;749716;248815
Bülach;683122;263712
Bulle;570848;162987
Bullet;532520;187014
Bünzen;666955;240374
Buochs;674840;203281
Bürchen;629490;124636
Bure;567440;254787
Büren (SO);617513;255648
Büren an der Aare;594971;220987
Burg im Leimental;600283;256302
Burgdorf;614325;211670
Burgistein;604798;181470
Bürglen (TG);728817;267991
Bürglen (UR);693338;192299
Büron;649701;229394
Bursinel;512901;143692
Bursins;511707;145254
Burtigny;509341;146833
Buseno;728621;125942
Büsserach;607676;248987
Bussigny;532126;155921
Bussnang;723842;268842
Busswil bei Melchnau;629922;226204
Bussy-sur-Moudon;551929;170645
Bütschwil-Ganterschwil;723007;245625
Büttenhardt;690842;289526
Büttikon;662786;242030
Buttisholz;649773;218306
Buttwil;666027;235565
Buus;632094;261716
Cademario;712622;97646
Cadempino;715793;99154
Cadenazzo;716762;112070
Calanca;728921;128995
Cama;733462;125758
Campo (Vallemaggia);681404;127057
Canobbio;718342;99273
Capriasca;718230;102833
Carouge (GE);499215;115494
Cartigny;490449;114718
Caslano;711960;92091
Castaneda;731179;124374
Castel San Pietro;721964;80042
Cazis;752231;176242
Celerina/Schlarigna;785806;154055
Céligny;504655;133936
Centovalli;693560;113447
Cerentino;685618;128783
Cevio;689604;130175
Chalais;605655;123955
Cham;677397;226013
Chamblon;536442;181166
Chamoson;583201;116862
Champagne;540445;186899
Champéry;556109;114225
Champoz;589399;233850
Champtauroz;550256;178997
Champvent;533774;181596
Chancy;486278;112017
Chapelle (Glâne);553673;159792
Chardonne;553023;147444
Château-d’Oex;576317;146968
Châtel-Saint-Denis;558757;152991
Châtel-sur-Montsalvens;576016;162501
Châtillon (FR);553248;187062
Châtillon (JU);592777;242038
Châtonnaye;561817;178262
Chavannes-de-Bogis;501735;133241
Chavannes-des-Bois;499373;130161
Chavannes-le-Chêne;549550;180855
Chavannes-le-Veyron;524342;162098
Chavannes-près-Renens;533895;154017
Chavannes-sur-Moudon;551776;167496
Chavornay;533506;172767
Chêne-Bougeries;503239;117102
Chêne-Bourg;501818;117304
Chénens;566584;176689
Chêne-Pâquier;548909;180243
Cheseaux-Noréaz;541794;181760
Cheseaux-sur-Lausanne;536128;159645
Chéserex;502799;139555
Chessel;558086;133264
Chevilly;526605;166115
Chevroux;559499;193162
Chexbres;549231;148094
Cheyres-Châbles;550285;184987
Chiasso;723804;77154
Chigny;526225;152501
Chippis;608154;125620
Choulex;505706;119095
Chur;759662;190702
Churwalden;760722;183251
Clarmont;524131;155492
Clos du Doubs;578618;246087
Coeuve;574360;255987
Coinsins;507706;142113
Coldrerio;720194;79114
Collex-Bossy;498598;126250
Collina d’Oro;714237;92182
Collombey-Muraz;562330;124404
Collonge-Bellerive;504736;122816
Collonges;568710;113362
Cologny;504420;119116
Comano;717396;99296
Commugny;502977;130689
Concise;545191;189015
Confignon;495355;115560
Conters im Prättigau;779177;195894
Conthey;589300;118367
Coppet;504060;130147
Corbeyrier;563153;133138
Corbières;574230;167604
Corcelles (BE);601234;237169
Corcelles-le-Jorat;546581;161920
Corcelles-près-Concise;544235;188716
Corcelles-près-Payerne;563651;186712
Corgémont;577765;227112
Corminboeuf;574449;184185
Cormoret;571029;224975
Cornaux;568142;209847
Cornol;579264;250718
Corseaux;553489;146947
Corsier (GE);505764;122800
Corsier-sur-Vevey;554148;146694
Cortaillod;554973;199340
Cortébert;574876;226689
Cossonay;528801;162970
Cottens (FR);569010;177788
Courchapoix;601385;244350
Courchavon;571211;254612
Courgenay;576328;250420
Courgevaux;575110;195207
Courrendlin;595087;243117
Courroux;595090;245896
Court;592294;232080
Courtedoux;570145;251066
Courtelary;572275;225326
Courtepin;575897;190881
Courtételle;590994;243430
Crans;505156;134576
Crans-Montana;603400;128950
Crassier;501897;136667
Crémines;600081;236941
Cressier (FR);577265;194148
Cressier (NE);569416;211230
Crésuz;577210;163052
Crissier;533897;156210
Cronay;543271;178688
Croy;526505;171891
Cuarnens;523390;164241
Cuarny;542691;180145
Cudrefin;568007;200614
Cugnasco-Gerra;714307;114802
Cugy (FR);558192;184987
Cugy (VD);538830;159400
Cureglia;716597;99568
Curio;710495;95498
Curtilles;554790;172351
Dachsen;688650;280102
Dägerlen;696662;268736
Dagmersellen;641727;229271
Daillens;531851;163613
Dallenwil;672571;198620
Dällikon;675450;254929
Dalpe;702596;147663
Damphreux-Lugnez;574375;259385
Däniken;641048;245264
Dänikon;673052;255610
Dardagny;488560;116976
Därligen;628347;167707
Därstetten;604406;167453
Dättlikon;689385;264637
Davos;781892;185191
Degersheim;732766;248349
Deisswil bei Münchenbuchsee;601308;209237
Deitingen;614014;229450
Delémont;592827;246044
Delley-Portalban;564131;195912
Démoret;547888;177565
Denens;524647;152459
Denges;531090;152937
Densbüren;646371;256113
Derendingen;610902;227806
Develier;589108;245132
Diegten;628118;251454
Dielsdorf;676540;259731
Diemtigen;609643;166292
Diepflingen;630076;255145
Diepoldsau;767181;250544
Dierikon;670841;216687
Diessbach bei Büren;594223;217639
Diessenhofen;698464;282235
Dietikon;672858;251005
Dietlikon;689102;252833
Dietwil;672310;222416
Dinhard;700182;268301
Dintikon;659583;245991
Disentis/Mustér;707938;173057
Dittingen;604420;254420
Dizy;527850;165297
Domat/Ems;753436;188876
Domleschg;753645;180726
Dompierre (VD);557494;173165
Donneloye;544808;177346
Doppleschwand;646904;207691
Dorénaz;569542;110931
Dorf;691123;269977
Dörflingen;695931;284046
Dornach;613526;258726
Dottikon;660558;248461
Döttingen;661525;269245
Dotzigen;592538;218876
Dozwil;741315;270131
Drei Höfe;614977;222998
Dübendorf;689139;250394
Düdingen;581078;188360
Duggingen;612686;255625
Duillier;507300;140442
Dulliken;638323;244782
Dully;512118;142746
Dürnten;706276;237425
Dürrenäsch;654298;241424
Dürrenroth;626785;215498
Ebikon;668472;214923
Ebnat-Kappel;726982;236442
Echallens;538258;165891
Echandens;531230;153955
Echarlens;572098;166440
Echichens;527875;153191
Eclépens;530106;167216
Ecublens (FR);551754;162061
Ecublens (VD);532713;153135
Ederswiler;592266;252848
Egerkingen;626901;241322
Egg;694698;239793
Eggenwil;668098;246984
Eggerberg;633845;128494
Eggersriet;753351;256643
Eggiwil;627237;191606
Eglisau;681664;270039
Egliswil;656493;244602
Egnach;746035;267908
Egolzwil;643096;226161
Ehrendingen;668243;261367
Eich;655300;222463
Eichberg;757557;245951
Eiken;641478;264721
Einsiedeln;698969;220496
Eischoll;626304;127011
Eisten;635399;116329
Elgg;707760;262071
Ellikon an der Thur;704391;269115
Elsau;702789;262631
Embd;630114;118308
Embrach;686985;262810
Emmen;665606;214581
Emmetten;682161;201215
Endingen;664129;265612
Engelberg;673573;185971
Enges;567626;212012
Ennetbaden;665984;259085
Ennetbürgen;674194;204199
Ennetmoos;668418;201042
Entlebuch;647518;204854
Epalinges;540693;156170
Ependes (VD);536527;177150
Eppenberg-Wöschnau;644284;247511
Epsach;583140;212874
Eptingen;628825;248351
Ergisch;621296;126880
Eriswil;631239;214784
Eriz;627592;182156
Erlach;574038;210431
Erlen;735088;268131
Erlenbach (ZH);687258;239957
Erlenbach im Simmental;608899;167558
Erlinsbach (AG);643293;250433
Erlinsbach (SO);642896;250836
Ermatingen;723264;281142
Ermensee;660179;231683
Ernen;654477;138983
Erschwil;607888;246980
Ersigen;611809;215641
Erstfeld;692458;186202
Eschenbach (LU);666905;220566
Eschenbach (SG);712315;233248
Eschenz;707290;278682
Eschert;597078;236167
Eschlikon;714634;257801
Escholzmatt-Marbach;637791;195952
Essertines-sur-Rolle;513947;149638
Essertines-sur-Yverdon;538748;174317
Estavayer;554894;188934
Etagnières;536657;161307
Etoy;521828;148820
Ettingen;607973;258910
Ettiswil;643904;222152
Etziken;615915;226459
Evilard;584852;222288
Evionnaz;567905;114400
Evolène;604357;106724
Eysins;505157;137325
Fahrni;617694;182919
Fahrwangen;660781;238526
Fahy;563233;252187
Faido;704502;148420
Falera;736741;184765
Fällanden;690736;247484
Faoug;572508;195311
Farnern;613811;235249
Féchy;517962;148408
Fehraltorf;699393;249229
Fehren;610695;249486
Felben-Wellhausen;713180;270684
Feldbrunnen-St. Niklaus;608858;229996
Felsberg;755453;190559
Ferden;624696;138201
Ferenbalm;582673;199702
Ferpicloz;579196;177404
Ferrera;752966;157355
Ferreyres;527052;167870
Fétigny;559981;182906
Feuerthalen;690587;283097
Feusisberg;699196;227079
Fey;542059;169713
Fideris;775511;198677
Fiesch;653476;139085
Fieschertal;653835;141979
Fiez;537791;186432
Finhaut;564349;103764
Finsterhennen;580333;208142
Fischbach;635599;222838
Fischbach-Göslikon;665699;246980
Fischenthal;712068;243462
Fischingen;715308;252884
Fisibach;673033;268322
Fislisbach;664338;254332
Flaach;688088;270208
Fläsch;757711;210469
Flawil;732160;253162
Flerden;750590;174255
Flims;740724;188563
Flüelen;690311;195002
Flühli;644058;192629
Flumenthal;612115;231854
Flums;744540;217386
Flurlingen;689329;282151
Fontaines-sur-Grandson;537505;187454
Fontenais;572973;250434
Forel (Lavaux);548690;154645
Forst-Längenbühl;606981;178206
Founex;504047;132061
Fräschels;582485;205217
Fraubrunnen;606707;214892
Frauenfeld;709835;268281
Frauenkappelen;592035;200330
Freienbach;699942;229067
Freienstein-Teufen;686321;265271
Freienwil;666897;261739
Freimettigen;614400;190756
Frenkendorf;620852;261366
Fribourg;578929;183935
Frick;643983;261917
Froideville;541916;161439
Frutigen;616200;159140
Fulenbach;630075;236396
Füllinsdorf;621945;261691
Full-Reuenthal;657526;274195
Fully;575067;109775
Furna;769644;200435
Fürstenau;753759;176281
Gächlingen;679669;283804
Gachnang;706272;265689
Gais;752253;247694
Gaiserwald;742500;255000
Galgenen;708868;226722
Gals;570443;208627
Gambarogno;705977;110204
Gampel-Bratsch;623213;129333
Gampelen;571064;207145
Gams;751726;230044
Gansingen;652344;266060
Gebenstorf;660581;259058
Gelterkinden;631513;257187
Geltwil;666988;233553
Gempen;616668;258426
Genève;500532;117325
Genolier;506170;143362
Genthod;500654;124735
Gerlafingen;610255;224594
Geroldswil;673358;252926
Gersau;682615;205051
Gerzensee;608008;187502
Geuensee;650640;227888
Gibloux;571392;174441
Giebenach;623063;263652
Giez;537242;184585
Giffers;582555;178938
Gilly;512226;145771
Gimel;513353;151345
Gingins;503092;140508
Giornico;710460;139748
Gipf-Oberfrick;642517;260930
Gisikon;672800;219686
Giswil;656920;187179
Givisiez;576190;184611
Givrins;504943;142733
Gland;509801;142009
Glarus;723766;211267
Glarus Nord;723311;217739
Glarus Süd;724397;206116
Glattfelden;679857;268362
Gletterens;561811;193888
Goldach;752839;261149
Gollion;528699;159759
Gommiswald;719975;232330
Goms;662302;148322
Gondiswil;632993;221742
Gonten;744223;243701
